sd_w_in;sd_w_ex;N 1;N 2;time1;time2;
0.01;0.01;2185.5;5091;1.4e+08;1.4e+08
0.01;0.03;0;7255;690000;1.4e+08
0.01;0.05;0;7099;240000;1.4e+08
0.01;0.07;0;7232.5;270000;1.4e+08
0.01;0.09;0;6524.5;120000;1.4e+08
0.01;0.11;0;6141;70000;1.4e+08
0.01;0.13;0;5609.5;70000;1.4e+08
0.01;0.15;0;4962.5;40000;1.4e+08
0.01;0.17;0;4108;30000;1.4e+08
0.01;0.19;0;4187;30000;1.4e+08
0.01;0.21;0;4995;40000;1.4e+08
0.03;0.01;1776;1787.5;1.4e+08;1.4e+08
0.03;0.03;125;2239;70330000;1.4e+08
0.03;0.05;0;2327.5;240000;1.4e+08
0.03;0.07;0;2368.5;160000;1.4e+08
0.03;0.09;0;2345;90000;1.4e+08
0.03;0.11;0;2341.5;60000;1.4e+08
0.03;0.13;0;2451.5;80000;1.4e+08
0.03;0.15;0;2348;50000;1.4e+08
0.03;0.17;0;2213.5;40000;1.4e+08
0.03;0.19;0;2256;50000;1.4e+08
0.03;0.21;0;2270;50000;1.4e+08
0.05;0.01;1203;1211;1.4e+08;1.4e+08
0.05;0.03;971;872;1.4e+08;1.4e+08
0.05;0.05;100;1409;70590000;1.4e+08
0.05;0.07;0;1451.5;180000;1.4e+08
0.05;0.09;0;1378.5;110000;1.4e+08
0.05;0.11;0;1419.5;1e+05;1.4e+08
0.05;0.13;0;1445.5;70000;1.4e+08
0.05;0.15;0;1479.5;60000;1.4e+08
0.05;0.17;0;1435;50000;1.4e+08
0.05;0.19;0;1421.5;50000;1.4e+08
0.05;0.21;0;1476;40000;1.4e+08
0.07;0.01;980.5;893.5;1.4e+08;1.4e+08
0.07;0.03;782;695;1.4e+08;1.4e+08
0.07;0.05;633;604;1.4e+08;1.4e+08
0.07;0.07;0;1078.5;970000;1.4e+08
0.07;0.09;0;1063.5;230000;1.4e+08
0.07;0.11;0;1060.5;2e+05;1.4e+08
0.07;0.13;0;1127;80000;1.4e+08
0.07;0.15;0;1065;60000;1.4e+08
0.07;0.17;0;990.5;90000;1.4e+08
0.07;0.19;0;1059.5;70000;1.4e+08
0.07;0.21;0;1003;70000;1.4e+08
0.09;0.01;852.5;775.5;1.4e+08;1.4e+08
0.09;0.03;652.5;637.5;1.4e+08;1.4e+08
0.09;0.05;571;532.5;1.4e+08;1.4e+08
0.09;0.07;466;511;1.4e+08;1.4e+08
0.09;0.09;164.5;750;70290000;1.4e+08
0.09;0.11;0;905.5;310000;1.4e+08
0.09;0.13;0;816;110000;1.4e+08
0.09;0.15;0;834.5;1e+05;1.4e+08
0.09;0.17;0;864.5;90000;1.4e+08
0.09;0.19;0;819.5;80000;1.4e+08
0.09;0.21;0;844;50000;1.4e+08
0.11;0.01;689.5;636;1.4e+08;1.4e+08
0.11;0.03;624.5;605;1.4e+08;1.4e+08
0.11;0.05;558;514.5;1.4e+08;1.4e+08
0.11;0.07;563.5;378.5;1.4e+08;1.4e+08
0.11;0.09;509.5;351.5;1.4e+08;1.4e+08
0.11;0.11;772.5;1.5;1.4e+08;70160000
0.11;0.13;0;764;190000;1.4e+08
0.11;0.15;0;731.5;170000;1.4e+08
0.11;0.17;0;761;80000;1.4e+08
0.11;0.19;0;743.5;70000;1.4e+08
0.11;0.21;0;716;70000;1.4e+08
0.13;0.01;642.5;602.5;1.4e+08;1.4e+08
0.13;0.03;573;591.5;1.4e+08;1.4e+08
0.13;0.05;533;420;1.4e+08;1.4e+08
0.13;0.07;450.5;418;1.4e+08;1.4e+08
0.13;0.09;462.5;342.5;1.4e+08;1.4e+08
0.13;0.11;374.5;390;1.4e+08;1.4e+08
0.13;0.13;444;249.5;1.4e+08;70300000
0.13;0.15;346;337;70120000;70160000
0.13;0.17;0;644;240000;1.4e+08
0.13;0.19;0;688;1e+05;1.4e+08
0.13;0.21;0;684.5;1e+05;1.4e+08
0.15;0.01;586.5;569.5;1.4e+08;1.4e+08
0.15;0.03;583;479;1.4e+08;1.4e+08
0.15;0.05;461;437.5;1.4e+08;1.4e+08
0.15;0.07;446.5;328.5;1.4e+08;1.4e+08
0.15;0.09;435.5;350.5;1.4e+08;1.4e+08
0.15;0.11;412;263.5;1.4e+08;1.4e+08
